23174114 function calls (23171383 primitive calls) in 150.720 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:103(norm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1072(expon_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1129(exponnorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1198(exponweib_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1238(exponpow_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1286(fatiguelife_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1351(foldcauchy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1384(f_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1468(foldnorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1525(frechet_r_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1572(frechet_l_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1620(genlogistic_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1666(genpareto_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1743(genexpon_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1785(genextreme_gen)
